from,to,count,share
car,ride,7935,0.062055212325017595
car,pt,6004,0.046953937592867756
car,bike,3420,0.02674591381872214
walk,bike,526,0.004113552827090013
pt,bike,422,0.0033002267928364747
ride,pt,324,0.0025338234144052555
ride,bike,300,0.0023461327911159773
walk,pt,124,9.697348869946039e-4
ride,car,5,3.910221318526629e-5
